route_id,route_short_name,route_type
1,M1,1
2,M2,1
3,M3,1
4,M4,1
5,1,0
6,3,0
7,4,0
8,5,0
9,6,0
10,7,0
11,8,0
12,10,0
13,11,0
14,12,0
15,18,0
16,20,0
17,21,0
18,22,0
19,23,0
20,27,0
21,1,11
22,2,11
23,3,11
24,4,11
25,5,11
26,6,11
27,7,11
28,8,11
29,9,11
30,11,11
31,N1,3
32,1,3
33,У1,3
34,N2,3
35,У2,3
36,N3,3
37,3,3
38,N4,3
39,4,3
40,5,3
41,6,3
42,7,3
43,8-ТМ,3
44,8,3
45,9,3
46,Х9,3
47,10,3
48,Х10,3
49,11,3
50,12,3
51,14,3
52,18,3
53,20,3
54,21,3
55,22,3
56,23,3
57,24,3
58,26,3
59,27,3
60,28,3
61,29,3
62,30,3
63,31,3
64,42,3
65,44,3
66,47,3
67,49,3
68,Х50,3
69,54,3
70,56,3
71,58,3
72,59,3
73,60,3
74,63,3
75,64,3
76,66,3
77,67,3
78,68,3
79,69,3
80,70,3
81,72,3
82,73,3
83,74,3
84,75,3
85,76,3
86,77,3
87,78,3
88,79,3
89,81,3
90,82,3
91,83,3
92,84,3
93,85,3
94,86,3
95,88,3
96,90,3
97,94,3
98,98,3
99,100,3
100,101,3
101,102,3
102,103,3
103,107,3
104,108,3
105,111,3
106,117,3
107,118,3
108,119,3
109,120,3
110,123,3
111,150,3
112,184,3
113,204,3
114,213,3
115,260,3
116,280,3
117,285,3
118,288,3
119,294,3
120,304,3
121,305,3
122,309,3
123,310,3
124,314,3
125,384,3
126,404,3
127,413,3
128,604,3
129,801,3
130,802,3
131,803,3
132,804,3
133,805,3
