stop_id,stop_name,stop_lat,stop_lon
102-РО ОУ,2,42.735761,23.305201
БЛ. 411 Ж.К. МЛАДОСТ-4,3,42.636966,23.380375
БЛ. 411 Ж.К. МЛАДОСТ-4,4,42.637973,23.381173
БЛ. 411 Ж.К. МЛАДОСТ-4,5,42.637216,23.381403
12-ТИ ДКЦ,6,42.71924,23.268294
12-ТИ ДКЦ,7,42.718784,23.268934
131-ВО СОУ,8,42.634732,23.380186
131-ВО СОУ,9,42.6361,23.380428
14-ТИ ДКЦ,10,42.679723,23.311364
14-ТИ ДКЦ,11,42.678842,23.310551
140-ТО СОУ,12,42.745959,23.274844
140-ТО СОУ,13,42.74616,23.274789
163-ТО ОУ,14,42.645368,23.404928
163-ТО ОУ,15,42.645224,23.404784
20-ТИ ДКЦ,16,42.671643,23.283678
20-ТИ ДКЦ,17,42.67098,23.28236
24-ТИ ДКЦ,18,42.736997,23.301037
24-ТИ ДКЦ,19,42.736791,23.301641
26-ТИ ДКЦ,20,42.725602,23.254938
26-ТИ ДКЦ,21,42.725101,23.255578
ОНКОЛОГИЧЕН ДИСПАНСЕР,22,42.654884,23.370177
ОНКОЛОГИЧЕН ДИСПАНСЕР,23,42.654595,23.369079
28-МИ ДКЦ,24,42.664807,23.406127
28-МИ ДКЦ,25,42.666206,23.406097
28-МИ ДКЦ,26,42.665548,23.406848
28-МИ ДКЦ,27,42.665749,23.406313
28-МИ ДКЦ,28,42.66544,23.407377
36-ТИ ПОЩЕНСКИ КЛОН,29,42.720665,23.25278
36-ТИ ПОЩЕНСКИ КЛОН,30,42.72074,23.252905
36-ТО СОУ,31,42.674309,23.287207
36-ТО СОУ,32,42.673481,23.285933
КВ. ГАРА ИСКЪР,33,42.662052,23.41561
КВ. ГАРА ИСКЪР,34,42.662046,23.415455
КВ. ГАРА ИСКЪР,35,42.662581,23.414805
КВ. ГАРА ИСКЪР,36,42.662305,23.414963
53-ТО ОУ,37,42.676841,23.234969
53-ТО ОУ,38,42.677147,23.23518
60-ТО ОУ,39,42.742288,23.345738
60-ТО ОУ,40,42.741856,23.345288
66-ТО СОУ,41,42.672423,23.261753
66-ТО СОУ,42,42.672646,23.2622
8-МИ ДКЦ,43,42.728263,23.29121
8-МИ ДКЦ,44,42.730266,23.293837
УЛ. ПОЩЕНСКА,45,42.721771,23.342135
УЛ. ПОЩЕНСКА,46,42.721707,23.341948
АВТОБАЗА ИСКЪР,47,42.678037,23.389798
АВТОРЕМОНТНА БАЗА,48,42.626063,23.446359
АВТОРЕМОНТНА БАЗА,49,42.625556,23.446831
АВТОСТАНЦИЯ БАНКЯ,50,42.708453,23.15252
АВТОСТАНЦИЯ БАНКЯ,51,42.708236,23.152225
АВТОСТАНЦИЯ ГЕО МИЛЕВ,52,42.678057,23.370444
АВТОСТАНЦИЯ ГЕО МИЛЕВ,53,42.677538,23.37065
АВТОСТАНЦИЯ ИЗТОК,56,42.703556,23.386843
АВТОСТАНЦИЯ ИЗТОК,57,42.703915,23.386993
АВТОСТАНЦИЯ ИЛИЯНЦИ,58,42.754514,23.32073
МЕТРОСТАНЦИЯ ОБЕЛЯ,59,42.741998,23.277789
МЕТРОСТАНЦИЯ ОБЕЛЯ,60,42.742178,23.277625
АВТОСТАНЦИЯ ОРЛАНДОВЦИ,62,42.714947,23.342054
АВТОСТАНЦИЯ ОРЛАНДОВЦИ,63,42.71573,23.342516
БУЛ. ИСТОРИЯ СЛАВЯНОБЪЛГАРСКА,65,42.715698,23.323995
БУЛ. ИСТОРИЯ СЛАВЯНОБЪЛГАРСКА,66,42.715214,23.324621
НБУ,67,42.676544,23.253228
РЦ ПО ПРОТЕЗИРАНЕ,68,42.676742,23.249642
НБУ,69,42.677701,23.253841
РЦ ПО ПРОТЕЗИРАНЕ,70,42.676299,23.249563
АЛБЕНА - ПО ЖЕЛАНИЕ,71,42.563254,23.363143
АЛБЕНА - ПО ЖЕЛАНИЕ,72,42.562978,23.363451
БУЛ. ПЕЙО ЯВОРОВ,73,42.683091,23.348322
БУЛ. ПЕЙО ЯВОРОВ,74,42.682331,23.348888
АНЕВА ЧЕШМА - ПО ЖЕЛАНИЕ,75,42.54031,23.364946
АНЕВА ЧЕШМА - ПО ЖЕЛАНИЕ,76,42.539881,23.364671
АП ДРУЖБА,77,42.649228,23.416362
АП ДРУЖБА,78,42.649169,23.416157
АП ЗЕМЛЯНЕ,79,42.683127,23.277827
АП ЗЕМЛЯНЕ,80,42.682742,23.278719
АП МАЛАШЕВЦИ,81,42.715318,23.360315
УЛ. Н. ХРЕЛКОВ,82,42.687529,23.232207
УЛ. Н. ХРЕЛКОВ,83,42.687165,23.232591
КОМПЛЕКС НА БАН,84,42.653744,23.388685
КОМПЛЕКС НА БАН,86,42.653718,23.389288
БАЗА ГАЗСТРОЙ - ПО ЖЕЛАНИЕ,87,42.731166,23.572686
БАЗА ГАЗСТРОЙ - ПО ЖЕЛАНИЕ,88,42.731256,23.572572
ТЕХНОТЕСТ,89,42.677199,23.399163
